frame,read_ms,track_ms,yolo_pre_ms,yolo_inf_ms,yolo_post_ms,ids_ms,draw_ms,diag_ms,n_tracks,n_small,n_blur,n_occluded_pairs
150,2.731,119.064,7.643,101.544,2.97,4.861,7.793,3.007,21,11,0,0
151,2.048,121.516,6.981,108.126,2.017,2.527,6.981,1.535,19,9,0,0
152,3.114,123.309,10.095,105.314,2.246,4.134,7.495,2.941,19,8,0,0
153,2.192,123.643,6.927,106.867,2.582,3.848,7.511,3.376,19,8,0,0
154,2.204,125.016,6.805,110.043,3.408,2.841,6.423,1.414,20,9,0,0
155,3.512,177.553,34.706,136.243,2.064,2.098,6.054,1.374,20,9,0,0
156,2.833,140.563,10.4,123.394,1.789,2.118,5.847,1.499,19,8,0,0
157,2.363,122.29,6.678,109.472,2.233,2.113,8.184,1.456,19,9,0,0
158,1.79,122.032,7.283,109.522,1.557,1.622,5.782,1.133,19,9,0,0
159,1.998,120.285,6.181,109.277,1.554,2.04,5.567,1.389,19,9,0,0
160,2.095,105.319,7.817,92.573,1.629,2.15,5.886,1.361,20,10,0,0
161,2.087,116.916,6.986,104.285,1.709,2.11,5.845,1.368,21,11,0,0
162,2.113,111.441,6.915,97.366,2.072,2.92,7.251,1.783,22,11,0,0
163,2.334,115.779,7.622,102.446,1.695,2.251,5.876,1.431,21,10,0,0
164,2.371,128.721,8.379,114.51,1.75,1.982,5.818,1.356,20,10,0,0
165,2.077,119.468,6.926,106.748,1.642,2.229,5.692,1.491,21,10,0,0
166,2.02,120.622,7.991,106.655,1.75,2.049,6.262,1.352,20,10,0,0
167,2.74,123.922,10.264,107.167,2.135,2.158,7.499,1.729,20,10,0,0
168,2.63,137.21,10.228,120.983,2.19,1.647,5.632,1.38,19,9,0,0
169,2.422,136.529,7.301,121.416,2.379,2.2,9.243,2.411,18,8,0,0
170,2.426,129.73,9.558,113.665,2.548,2.099,6.113,1.754,19,10,0,0
171,1.934,118.936,7.386,105.201,1.873,2.199,6.338,1.806,19,10,0,0
172,2.048,113.123,8.014,98.275,1.879,2.871,7.827,2.255,19,10,0,0
173,2.039,126.072,6.785,112.887,1.927,2.686,7.11,1.876,19,9,0,0
174,2.908,117.314,8.749,102.326,1.898,2.138,6.224,1.873,19,9,0,0
175,1.859,112.477,6.598,100.185,1.709,2.098,5.711,1.574,20,10,0,0
176,1.982,117.783,8.359,102.579,1.766,2.479,5.938,2.069,20,10,0,0
177,2.879,124.106,7.254,111.547,1.622,1.928,5.694,1.597,21,11,0,0
178,2.09,139.824,8.986,124.448,1.799,2.772,6.089,1.592,21,12,0,0
179,1.93,120.283,7.288,106.94,1.741,2.219,5.86,2.041,20,11,0,0
180,1.645,116.573,8.138,102.244,1.942,2.045,6.291,1.875,20,11,0,0
181,1.763,122.043,7.308,107.933,2.092,2.769,8.25,1.829,19,11,0,0
182,2.318,117.81,8.077,104.652,1.548,1.993,6.24,1.787,20,12,0,0
183,2.233,105.892,7.012,94.09,1.495,1.707,4.389,1.394,20,12,0,0
184,2.149,104.698,6.899,92.584,1.702,1.645,4.781,1.518,19,11,0,0
185,2.06,107.86,6.217,95.956,1.609,2.013,5.943,1.747,19,11,0,0
186,1.698,103.095,7.183,91.029,1.484,2.128,5.85,1.809,20,12,0,0
187,2.009,107.489,6.202,95.674,1.662,1.967,5.857,1.8,20,12,0,0
188,1.705,106.996,7.066,94.857,1.545,1.617,5.256,1.077,19,12,0,0
189,1.654,108.467,6.403,96.339,1.798,1.822,5.432,1.188,19,11,0,0
190,2.153,109.389,6.971,96.319,2.128,1.944,6.017,1.518,19,11,0,0
191,1.9,109.221,6.712,96.336,1.974,2.227,6.052,1.402,20,12,0,0
192,1.717,111.483,6.71,98.949,1.835,2.041,5.864,1.429,20,12,0,0
193,2.073,110.859,6.436,99.246,1.582,1.745,6.944,1.165,20,12,0,0
194,2.582,111.583,7.457,98.296,1.711,2.164,6.271,1.399,20,12,0,0
195,1.896,108.644,6.841,96.77,1.704,1.673,5.66,1.158,20,12,0,0
196,2.486,105.372,7.744,92.177,1.524,1.679,4.642,1.182,20,12,0,0
197,1.709,115.884,6.274,104.026,1.624,1.799,4.969,1.133,20,12,0,0
198,1.678,110.988,7.043,97.938,2.077,2.092,6.085,1.511,20,13,0,0
199,1.719,110.192,6.645,98.68,1.607,1.63,4.711,1.17,19,12,0,0
200,1.744,104.24,7.081,92.204,1.668,1.568,4.609,1.121,19,10,0,0
201,2.025,126.842,6.098,114.258,2.062,2.265,6.047,1.428,20,11,0,0
202,1.907,110.666,7.09,98.324,1.609,2.244,4.521,1.052,20,10,0,0
203,2.019,105.092,6.536,93.212,1.845,1.711,5.336,1.08,20,11,0,0
204,1.66,104.369,6.591,91.611,1.927,2.065,5.785,1.346,19,11,0,0
205,1.651,122.838,6.455,109.95,2.516,1.909,7.391,1.249,19,11,0,0
206,1.766,142.46,8.165,128.304,1.797,2.955,8.144,1.862,19,11,0,0
207,2.266,130.256,7.523,112.124,2.756,3.769,7.279,3.064,19,11,0,0
208,2.185,122.675,7.672,106.391,2.697,2.744,8.783,2.858,19,11,0,0
209,2.289,124.95,7.418,110.579,2.63,2.068,7.567,1.733,19,11,0,0
210,2.142,113.743,7.083,100.689,1.848,2.109,5.848,1.352,19,11,0,0
211,2.001,112.339,6.625,99.269,2.288,2.061,6.075,1.228,20,12,0,0
212,2.007,112.698,7.259,99.533,1.959,2.204,5.8,1.198,20,13,0,0
