frame,time_s,type,stable_id,class,detail
274,9.13,id_recovered,38,bus,"raw 369 -> 398, mất 17 frame"
274,9.13,id_recovered,96,moto,"raw 389 -> 400, mất 1 frame"
275,9.17,id_recovered,97,moto,"raw 397 -> 402, mất 0 frame"
275,9.17,id_recovered,81,moto,"raw 327 -> 163, mất 22 frame"
277,9.23,id_recovered,95,truck,"raw 386 -> 403, mất 1 frame"
279,9.3,id_recovered,11,car,"raw 17 -> 405, mất 55 frame"
279,9.3,id_recovered,92,car,"raw 353 -> 272, mất 1 frame"
280,9.33,occlusion,95&98,,IoU 0.35
283,9.43,id_recovered,25,car,"raw 392 -> 410, mất 8 frame"
284,9.47,id_recovered,11,car,"raw 405 -> 412, mất 3 frame"
285,9.5,id_recovered,56,car,"raw 358 -> 414, mất 31 frame"
286,9.53,id_recovered,97,moto,"raw 402 -> 415, mất 10 frame"
288,9.6,id_recovered,83,moto,"raw 393 -> 416, mất 15 frame"
289,9.63,id_recovered,99,car,"raw 408 -> 417, mất 1 frame"
289,9.63,id_recovered,24,car,"raw 294 -> 418, mất 0 frame"
290,9.67,id_recovered,44,car,"raw 273 -> 294, mất 44 frame"
290,9.67,occlusion,24&44,,IoU 0.47
291,9.7,id_recovered,92,car,"raw 272 -> 420, mất 4 frame"
291,9.7,occlusion,37&65,,IoU 0.31
291,9.7,occlusion,11&101,,IoU 0.32
292,9.73,id_recovered,100,car,"raw 419 -> 422, mất 1 frame"
292,9.73,occlusion,45&94,,IoU 0.30
295,9.83,id_recovered,13,car,"raw 395 -> 423, mất 22 frame"
295,9.83,id_recovered,52,moto,"raw 330 -> 424, mất 49 frame"
295,9.83,id_recovered,76,moto,"raw 380 -> 425, mất 14 frame"
296,9.87,id_recovered,13,car,"raw 423 -> 293, mất 0 frame"
298,9.93,id_recovered,47,car,"raw 374 -> 429, mất 40 frame"
298,9.93,occlusion,13&47,,IoU 0.52
299,9.97,occlusion,45&94,,IoU 0.32
299,9.97,occlusion,24&44,,IoU 0.43
300,10.0,id_recovered,97,moto,"raw 415 -> 431, mất 1 frame"
305,10.17,occlusion,45&94,,IoU 0.30
307,10.23,occlusion,24&44,,IoU 0.33
311,10.37,small_object,69,car,"box 36x28px, conf 0.65"
311,10.37,id_recovered,19,car,"raw 49 -> 439, mất 2 frame"
311,10.37,occlusion,19&69,,IoU 0.59
311,10.37,occlusion,96&104,,IoU 0.52
312,10.4,id_recovered,65,car,"raw 288 -> 442, mất 14 frame"
312,10.4,occlusion,19&57,,IoU 0.32
315,10.5,occlusion,24&44,,IoU 0.33
316,10.53,id_recovered,56,car,"raw 414 -> 443, mất 17 frame"
317,10.57,occlusion,45&94,,IoU 0.31
320,10.67,id_recovered,82,car,"raw 344 -> 445, mất 34 frame"
321,10.7,id_recovered,12,car,"raw 306 -> 446, mất 49 frame"
321,10.7,id_recovered,47,car,"raw 429 -> 447, mất 2 frame"
321,10.7,id_recovered,30,car,"raw 52 -> 152, mất 0 frame"
324,10.8,id_recovered,89,moto,"raw 81 -> 451, mất 4 frame"
324,10.8,id_recovered,13,car,"raw 293 -> 453, mất 20 frame"
324,10.8,occlusion,13&61,,IoU 0.30
324,10.8,occlusion,13&47,,IoU 0.42
325,10.83,id_recovered,105,moto,"raw 444 -> 454, mất 3 frame"
325,10.83,id_recovered,61,car,"raw 354 -> 293, mất 0 frame"
326,10.87,id_recovered,91,moto,"raw 348 -> 455, mất 1 frame"
328,10.93,occlusion,11&101,,IoU 0.31
329,10.97,id_recovered,105,moto,"raw 454 -> 459, mất 3 frame"
330,11.0,occlusion,13&61,,IoU 0.30
331,11.03,small_object,58,car,"box 34x29px, conf 0.47"
331,11.03,id_recovered,95,truck,"raw 403 -> 464, mất 47 frame"
335,11.17,id_recovered,68,moto,"raw 349 -> 470, mất 1 frame"
335,11.17,id_recovered,44,car,"raw 294 -> 472, mất 14 frame"
335,11.17,id_recovered,94,car,"raw 368 -> 271, mất 1 frame"
335,11.17,id_recovered,89,moto,"raw 451 -> 81, mất 1 frame"
337,11.23,occlusion,98&108,,IoU 0.56
338,11.27,id_recovered,19,car,"raw 439 -> 229, mất 0 frame"
339,11.3,id_recovered,57,car,"raw 117 -> 476, mất 21 frame"
339,11.3,occlusion,45&109,,IoU 0.31
339,11.3,occlusion,19&57,,IoU 0.46
341,11.37,id_recovered,36,car,"raw 298 -> 477, mất 1 frame"
342,11.4,id_recovered,97,moto,"raw 431 -> 478, mất 1 frame"
343,11.43,id_recovered,83,moto,"raw 416 -> 431, mất 54 frame"
343,11.43,occlusion,19&69,,IoU 0.64
343,11.43,occlusion,83&97,,IoU 0.54
347,11.57,small_object,97,moto,"box 24x43px, conf 0.36"
347,11.57,id_recovered,57,car,"raw 476 -> 483, mất 5 frame"
347,11.57,occlusion,19&57,,IoU 0.58
349,11.63,id_recovered,111,car,"raw 480 -> 485, mất 1 frame"
349,11.63,occlusion,45&109,,IoU 0.31
349,11.63,occlusion,13&61,,IoU 0.31
354,11.8,small_object,112,car,"box 29x33px, conf 0.28"
354,11.8,occlusion,11&101,,IoU 0.34
356,11.87,id_recovered,105,moto,"raw 459 -> 498, mất 4 frame"
357,11.9,small_object,116,car,"box 25x20px, conf 0.45"
358,11.93,id_recovered,61,car,"raw 293 -> 503, mất 3 frame"
358,11.93,occlusion,13&61,,IoU 0.31
360,12.0,id_recovered,105,moto,"raw 498 -> 505, mất 1 frame"
