frame,read_ms,track_ms,yolo_pre_ms,yolo_inf_ms,yolo_post_ms,ids_ms,draw_ms,diag_ms,n_tracks,n_small,n_blur,n_occluded_pairs
180,7.067,133.531,15.337,98.278,3.314,7.078,31.86,10.421,38,5,0,0
181,6.6,136.218,14.886,101.988,3.372,7.001,30.475,9.491,36,3,0,0
182,5.128,129.07,13.146,95.789,3.571,7.34,31.164,9.667,35,3,0,0
183,6.154,138.527,15.808,102.735,3.279,6.976,29.346,8.837,34,4,0,0
184,6.98,133.319,14.515,98.938,3.533,6.933,30.148,9.256,35,4,0,0
185,6.618,133.805,14.504,99.907,3.06,6.744,31.852,9.905,34,4,0,0
186,7.108,130.936,15.449,96.12,3.234,7.83,29.747,9.535,37,5,0,0
187,6.9,140.468,16.934,101.985,3.722,7.764,29.777,9.743,38,5,0,0
188,7.447,132.854,15.111,97.295,3.373,7.798,28.803,9.493,36,4,0,0
189,7.234,135.412,14.867,100.464,3.374,6.822,31.396,10.075,37,5,0,0
190,7.176,132.885,14.565,98.292,3.502,7.409,29.964,10.54,38,5,0,0
191,7.223,135.59,15.725,100.295,3.453,7.626,30.072,35.028,38,4,0,1
192,7.282,134.391,14.514,100.2,3.349,6.672,30.679,9.931,36,5,0,1
193,7.065,139.619,16.883,102.242,3.611,7.399,31.7,10.732,38,5,0,1
194,7.46,135.435,15.303,99.112,3.623,6.831,29.452,11.223,36,3,0,1
195,7.055,140.893,16.121,103.228,3.647,8.449,28.237,10.788,40,4,0,1
196,7.166,134.725,14.509,99.859,3.044,7.356,29.118,10.745,38,3,0,1
197,6.678,132.801,15.39,102.827,2.633,5.41,19.116,7.567,39,3,0,2
198,4.981,129.005,11.294,101.45,3.214,6.663,21.732,8.215,42,4,0,3
199,5.605,147.881,13.923,117.567,3.359,6.772,20.449,8.178,43,5,0,3
200,5.576,154.029,13.464,123.31,3.449,6.418,19.809,7.556,43,5,0,2
201,5.81,164.372,23.366,125.0,3.656,8.672,21.6,8.525,40,4,0,1
202,5.995,134.18,13.336,105.19,3.088,5.598,24.344,8.312,37,2,0,0
203,5.092,135.079,13.391,104.588,2.919,6.253,19.527,6.971,39,3,0,0
204,5.53,199.559,13.97,160.438,6.83,6.33,20.262,8.898,41,4,0,0
205,6.078,146.906,13.269,118.032,2.856,5.787,22.27,7.924,41,5,0,0
206,5.041,149.126,14.423,117.9,2.885,5.932,20.727,6.972,41,5,0,0
207,6.212,142.419,13.836,112.697,3.232,5.901,20.945,7.871,40,5,0,0
208,4.83,136.513,12.391,106.54,3.383,6.095,32.319,7.736,41,6,0,0
209,10.433,139.292,14.748,108.575,3.065,5.474,20.506,6.601,39,5,0,0
210,4.994,132.331,12.928,103.243,2.953,5.669,20.694,6.854,40,5,0,0
211,4.968,126.055,11.803,97.713,3.08,6.085,20.561,7.462,42,5,0,1
212,4.979,129.884,13.218,100.239,2.691,6.257,19.745,7.903,44,4,0,1
213,5.179,127.434,11.403,99.523,3.01,6.442,21.325,7.843,43,4,0,0
214,5.162,126.046,13.665,96.419,2.684,5.796,20.297,8.045,41,4,0,1
215,5.19,125.255,11.28,98.144,3.113,5.86,20.781,7.399,41,4,0,1
216,5.056,123.541,13.433,94.693,2.767,5.566,20.097,7.1,40,4,0,1
217,5.07,138.351,10.975,103.704,4.173,8.517,30.742,10.021,39,5,0,1
218,6.667,134.709,15.534,98.75,3.724,7.654,25.953,9.052,38,5,0,1
219,6.348,140.241,14.439,103.081,3.999,8.055,28.504,9.518,41,5,0,1
220,6.345,141.421,17.781,102.108,3.236,8.26,27.473,9.618,42,4,0,1
221,6.404,144.362,14.952,108.313,3.66,7.994,28.807,8.794,40,5,0,1
222,7.219,145.096,17.238,105.228,3.802,7.783,32.593,9.664,39,6,0,0
223,7.514,142.851,14.769,106.225,3.577,8.179,27.771,9.347,41,6,0,0
